source_csv,binary_prediction,macro_prediction,detailed_prediction,p_benign,p_malicious,macro_top1,macro_top2,detail_top1,detail_top2,detail_top3,focused_family,focused_prediction,focused_top1_prob,focused_top2
bruteforce_17.csv,malicious,auth_control_repetition,bruteforce,0.00010803754280712748,0.9998919624571928,auth_control_repetition:0.9635,availability_abuse:0.0362,bruteforce:0.6439,c2_beacon:0.3037,dos_flood:0.0357,auth_control_repetition,bruteforce,0.7043141512961917,c2_beacon:0.2957
bruteforce_17.csv,malicious,auth_control_repetition,bruteforce,0.00010803754280712748,0.9998919624571928,auth_control_repetition:0.9543,availability_abuse:0.0454,bruteforce:0.6453,c2_beacon:0.3027,dos_flood:0.0394,auth_control_repetition,bruteforce,0.6950521476414996,c2_beacon:0.3049
bruteforce_17.csv,malicious,auth_control_repetition,bruteforce,0.00010803754280712748,0.9998919624571928,auth_control_repetition:0.9773,availability_abuse:0.0224,bruteforce:0.7443,c2_beacon:0.2213,dos_flood:0.0237,auth_control_repetition,bruteforce,0.7672565383290048,c2_beacon:0.2327
bruteforce_17.csv,malicious,auth_control_repetition,bruteforce,0.00034932451066395283,0.9996506754893361,auth_control_repetition:0.9517,availability_abuse:0.0475,bruteforce:0.7748,c2_beacon:0.1822,dos_flood:0.0305,auth_control_repetition,bruteforce,0.7981783084078421,c2_beacon:0.2018
bruteforce_17.csv,malicious,auth_control_repetition,bruteforce,0.0,1.0,auth_control_repetition:0.9782,availability_abuse:0.0215,bruteforce:0.7054,c2_beacon:0.2730,dos_flood:0.0138,auth_control_repetition,bruteforce,0.7108595884706698,c2_beacon:0.2891
bruteforce_17.csv,malicious,auth_control_repetition,bruteforce,0.0002520863758005574,0.9997479136241995,auth_control_repetition:0.9389,availability_abuse:0.0603,bruteforce:0.7611,c2_beacon:0.1918,dos_flood:0.0334,auth_control_repetition,bruteforce,0.8018233432336744,c2_beacon:0.1982
bruteforce_17.csv,malicious,auth_control_repetition,bruteforce,0.00010803754280712748,0.9998919624571928,auth_control_repetition:0.9182,availability_abuse:0.0815,bruteforce:0.4807,c2_beacon:0.4502,slow_dos:0.0394,auth_control_repetition,bruteforce,0.5521772886003583,c2_beacon:0.4478
bruteforce_17.csv,malicious,auth_control_repetition,bruteforce,0.0002520863758005574,0.9997479136241995,auth_control_repetition:0.9617,availability_abuse:0.0380,bruteforce:0.7299,c2_beacon:0.2209,dos_flood:0.0300,auth_control_repetition,bruteforce,0.7632220018415995,c2_beacon:0.2368
bruteforce_17.csv,malicious,auth_control_repetition,bruteforce,0.009833867029003393,0.9901661329709965,auth_control_repetition:0.8918,availability_abuse:0.1012,bruteforce:0.6861,c2_beacon:0.2210,dos_flood:0.0357,auth_control_repetition,bruteforce,0.5805496792164384,c2_beacon:0.4195
bruteforce_17.csv,malicious,auth_control_repetition,bruteforce,0.0,1.0,auth_control_repetition:0.9655,availability_abuse:0.0342,bruteforce:0.7376,c2_beacon:0.2216,dos_flood:0.0309,auth_control_repetition,bruteforce,0.7737968078497122,c2_beacon:0.2262
bruteforce_17.csv,malicious,auth_control_repetition,bruteforce,0.00010803754280712748,0.9998919624571928,auth_control_repetition:0.9759,availability_abuse:0.0238,bruteforce:0.7651,c2_beacon:0.2025,dos_flood:0.0213,auth_control_repetition,bruteforce,0.7865685631756224,c2_beacon:0.2134
bruteforce_17.csv,malicious,auth_control_repetition,bruteforce,0.00010803754280712748,0.9998919624571928,auth_control_repetition:0.9577,availability_abuse:0.0420,bruteforce:0.6400,c2_beacon:0.3045,dos_flood:0.0299,auth_control_repetition,bruteforce,0.6845012004607421,c2_beacon:0.3155
bruteforce_17.csv,malicious,auth_control_repetition,bruteforce,0.00034932451066395283,0.9996506754893361,auth_control_repetition:0.9434,availability_abuse:0.0563,bruteforce:0.6848,c2_beacon:0.2533,dos_flood:0.0558,auth_control_repetition,bruteforce,0.7313143013956779,c2_beacon:0.2687
bruteforce_17.csv,malicious,auth_control_repetition,bruteforce,0.00010803754280712748,0.9998919624571928,auth_control_repetition:0.9752,availability_abuse:0.0245,bruteforce:0.6657,c2_beacon:0.2965,dos_flood:0.0221,auth_control_repetition,bruteforce,0.7040485187512502,c2_beacon:0.2960
bruteforce_17.csv,malicious,auth_control_repetition,bruteforce,0.00024128696785682537,0.9997587130321431,auth_control_repetition:0.9551,availability_abuse:0.0440,bruteforce:0.7270,c2_beacon:0.2405,dos_flood:0.0261,auth_control_repetition,bruteforce,0.7314306792863522,c2_beacon:0.2686
bruteforce_17.csv,malicious,auth_control_repetition,bruteforce,0.0,1.0,auth_control_repetition:0.9746,availability_abuse:0.0251,bruteforce:0.7303,c2_beacon:0.2328,dos_flood:0.0249,auth_control_repetition,bruteforce,0.7642629241961333,c2_beacon:0.2357
bruteforce_17.csv,malicious,auth_control_repetition,bruteforce,0.0,1.0,auth_control_repetition:0.9645,availability_abuse:0.0352,bruteforce:0.6823,c2_beacon:0.2866,dos_flood:0.0191,auth_control_repetition,bruteforce,0.7126391943352963,c2_beacon:0.2874
bruteforce_17.csv,malicious,auth_control_repetition,bruteforce,0.00024128696785682537,0.9997587130321431,auth_control_repetition:0.9392,availability_abuse:0.0605,bruteforce:0.7563,c2_beacon:0.1923,dos_flood:0.0387,auth_control_repetition,bruteforce,0.8215532952614581,c2_beacon:0.1784
bruteforce_17.csv,malicious,auth_control_repetition,bruteforce,0.0,1.0,auth_control_repetition:0.9812,availability_abuse:0.0155,bruteforce:0.8784,c2_beacon:0.0974,dos_flood:0.0137,auth_control_repetition,bruteforce,0.909742605423262,c2_beacon:0.0903
