protocol,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,Macro_Class,Attack_Type,Label,capture_id
6,0.003289,235025.8437214959,2736.394040741867,1824.262693827912,912.1313469139556,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.000411125,0.002358,0.0,0.0007788782699337,0.003289,0.002384,0.0,0.0006577999999999,0.0009129031492989,0.003229,0.002392,0.000837,0.0016145,0.0007775,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.5,68.66666666666667,0,6,3,567,206,benign,benign,0,benign_17
6,0.00293,263822.52559726965,3071.6723549488056,2047.7815699658704,1023.8907849829352,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.00036625,0.002725,0.0,0.0008922843927246,0.00293,0.002757,0.0,0.0005859999999999,0.0010863222358029,0.002879,0.002739,0.00014,0.0014395,0.0012995,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.5,68.66666666666667,0,6,3,567,206,benign,benign,0,benign_17
6,0.002307,335067.18682271347,3901.170351105332,2600.780234070221,1300.3901170351105,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.000288375,0.002085,0.0,0.0006796451164946,0.002307,0.002123,0.0,0.0004614,0.0008314273510054,0.002234,0.002107,0.000127,0.001117,0.00099,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.5,68.66666666666667,0,6,3,567,206,benign,benign,0,benign_17
6,0.009154,102141.14048503386,1092.4186148131964,764.6930303692375,327.7255844439589,7,3,725,210,281,66,103.57142857142856,73.18832292275113,74,66,70.0,3.265986323710904,281,66,93.5,63.162093062215725,3989.45,140,60,20,2,0.0010171111111111,0.003643,0.0,0.0012454863792862,0.009154,0.003643,0.0,0.0015256666666666,0.0013033336317135,0.003588,0.003467,0.000121,0.001794,0.001673,2,1,0,0,0,3,1,3,8,0,0,0.4285714285714285,93.5,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,103.57142857142856,70.0,0,7,3,725,210,benign,benign,0,benign_17
6,0.006716,115098.27278141752,1340.0833829660512,893.3889219773675,446.6944609886838,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.0008395,0.006412,0.0,0.0021066116158418,0.006716,0.006437,0.0,0.0013432,0.0025472904349524,0.006658,0.00649,0.000168,0.003329,0.0031609999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.5,68.66666666666667,0,6,3,567,206,benign,benign,0,benign_17
6,0.001071,721755.3688141924,8403.361344537816,5602.240896358544,2801.120448179272,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.000133875,0.000766,0.0,0.0002464068979858,0.001071,0.000766,0.0,0.0002141999999999,0.0002862749727098,0.00102,0.000797,0.000223,0.00051,0.000287,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.5,68.66666666666667,0,6,3,567,206,benign,benign,0,benign_17
6,0.000531,2112994.350282486,24482.10922787194,15065.913370998116,9416.195856873825,8,5,780,342,280,54,97.5,69.96248994997248,74,66,68.4,3.2,280,54,86.3076923076923,56.71437833617831,3216.5207100591715,160,100,20,3,4.425e-05,0.000196,0.0,5.653041216902633e-05,0.000531,0.000214,0.0,7.585714285714285e-05,6.690810023869322e-05,0.000486,0.00022,3.9e-05,0.0001215,6.456972975009265e-05,3,1,0,0,1,3,1,4,10,0,0,0.625,86.3076923076923,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,97.5,68.4,0,8,5,780,342,benign,benign,0,benign_17
6,0.001029,750242.954324587,8746.355685131195,5830.903790087464,2915.451895043732,6,3,566,206,220,66,94.33333333333331,56.31360601330928,74,66,68.66666666666667,3.771236166328253,220,66,85.77777777777777,47.594999218586864,2265.283950617284,120,60,20,1,0.000128625,0.000859,0.0,0.0002770708111205,0.001029,0.000883,0.0,0.0002058,0.0003396877389603,0.00098,0.000875,0.000105,0.00049,0.000385,1,0,0,0,2,3,0,1,7,0,0,0.5,85.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.33333333333331,68.66666666666667,0,6,3,566,206,benign,benign,0,benign_17
6,0.007555,102051.62144275314,1191.264063534083,794.1760423560556,397.0880211780278,6,3,565,206,219,66,94.16666666666669,55.94168590793651,74,66,68.66666666666667,3.771236166328253,219,66,85.66666666666667,47.28166193732572,2235.555555555555,120,60,20,1,0.000944375,0.00408,0.0,0.0015145488550637,0.007555,0.00454,0.0,0.0015109999999999,0.0018881215003277,0.007072,0.004107,0.002965,0.003536,0.000571,1,0,0,0,2,3,0,1,7,0,0,0.5,85.66666666666667,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.16666666666669,68.66666666666667,0,6,3,565,206,benign,benign,0,benign_17
6,0.003004,256990.6790945406,2996.005326231691,1997.336884154461,998.6684420772305,6,3,566,206,220,66,94.33333333333331,56.31360601330928,74,66,68.66666666666667,3.771236166328253,220,66,85.77777777777777,47.594999218586864,2265.283950617284,120,60,20,1,0.0003754999999999,0.00208,0.0,0.0006677344157672,0.0030039999999999,0.002505,0.0,0.0006008,0.0009653222052765,0.002552,0.002097,0.000455,0.001276,0.0008209999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,85.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.33333333333331,68.66666666666667,0,6,3,566,206,benign,benign,0,benign_17
