protocol,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,Attack_Type,capture_id,Label
6,0.00187,600000.0,6951.871657754011,4278.07486631016,2673.7967914438505,8,5,780,342,280,54,97.5,69.96248994997248,74,66,68.4,3.2,280,54,86.3076923076923,56.71437833617831,3216.5207100591715,160,100,20,3,0.0001558333333333,0.000635,0.0,0.000183848140836,0.00187,0.001023,0.0,0.0002671428571428,0.0003199988520387,0.001288,0.000688,9.8e-05,0.000322,0.0002204041741891,3,1,0,0,1,3,1,4,10,0,0,0.625,86.3076923076923,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,97.5,68.4,0,8,5,780,342,benign,benign_05,0
6,0.003555,217440.2250351617,2531.6455696202534,1687.7637130801688,843.8818565400844,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.000444375,0.00216,0.0,0.0006996150615695,0.003555,0.002272,0.0,0.000711,0.0008339784169869,0.00318,0.002259,0.000921,0.00159,0.000669,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.5,68.66666666666667,0,6,3,567,206,benign,benign_05,0
6,0.006768,114066.1938534279,1329.787234042553,886.5248226950355,443.26241134751774,6,3,566,206,220,66,94.33333333333331,56.31360601330928,74,66,68.66666666666667,3.771236166328253,220,66,85.77777777777777,47.594999218586864,2265.283950617284,120,60,20,1,0.000846,0.004522,0.0,0.0015014491333375,0.006768,0.004585,0.0,0.0013536,0.0017431359786316,0.006433,0.004576,0.001857,0.0032165,0.0013595,1,0,0,0,2,3,0,1,7,0,0,0.5,85.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.33333333333331,68.66666666666667,0,6,3,566,206,benign,benign_05,0
6,0.015706,49216.859798803,573.0294155099962,382.0196103399974,191.0098051699987,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.00196325,0.014043,0.0,0.0045802681621822,0.015706,0.014087,0.0,0.0031412,0.0054882286541287,0.0153979999999999,0.014129,0.001269,0.0076989999999999,0.00643,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.5,68.66666666666667,0,6,3,567,206,benign,benign_05,0
6,0.00101,1109900.9900990098,12871.287128712873,7920.79207920792,4950.495049504951,8,5,779,342,279,54,97.375,69.63644430181655,74,66,68.4,3.2,279,54,86.23076923076923,56.4516864177527,3186.792899408284,160,100,20,3,8.416666666666668e-05,0.000372,0.0,0.000106590988779,0.00101,0.000372,0.0,0.0001442857142857,0.0001190146621047,0.000784,0.000419,7.7e-05,0.000196,0.0001376553667678,3,1,0,0,1,3,1,4,10,0,0,0.625,86.23076923076923,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,97.375,68.4,0,8,5,779,342,benign,benign_05,0
6,0.00702,110113.96011396011,1282.051282051282,854.7008547008546,427.3504273504273,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.0008775,0.00474,0.0,0.0016044553593042,0.00702,0.004792,0.0,0.001404,0.0018653506908889,0.006905,0.004777,0.002128,0.0034525,0.0013245,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.5,68.66666666666667,0,6,3,567,206,benign,benign_05,0
6,0.008312,92998.0750721848,1082.771896053898,721.8479307025987,360.9239653512993,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.001039,0.003225,0.0,0.0013265667152465,0.008312,0.00331,0.0,0.0016624,0.0013936521230206,0.005236,0.003284,0.001952,0.002618,0.000666,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.5,68.66666666666667,0,6,3,567,206,benign,benign_05,0
6,0.007213,107167.6140302232,1247.747123249688,831.8314154997921,415.91570774989606,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.0009016249999999,0.005306,0.0,0.0017591140481432,0.007213,0.005343,0.0,0.0014426,0.0020615187217194,0.007138,0.005334,0.001804,0.003569,0.001765,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.5,68.66666666666667,0,6,3,567,206,benign,benign_05,0
6,0.029756,31388.62750369673,336.06667562844467,235.2466729399113,100.8200026885334,7,3,724,210,280,66,103.42857142857144,72.84201523621837,74,66,70.0,3.265986323710904,280,66,93.4,62.86525272358332,3952.04,140,60,20,2,0.0033062222222222,0.0134,0.0,0.0040812851129073,0.029756,0.0134,0.0,0.0049593333333333,0.0047915689729171,0.011183,0.00909,0.002093,0.0055915,0.0034985,2,1,0,0,0,3,1,3,8,0,0,0.4285714285714285,93.4,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,103.42857142857144,70.0,0,7,3,724,210,benign,benign_05,0
6,0.003751,205811.78352439348,2399.3601706211675,1599.5734470807784,799.7867235403892,6,3,566,206,220,66,94.33333333333331,56.31360601330928,74,66,68.66666666666667,3.771236166328253,220,66,85.77777777777777,47.594999218586864,2265.283950617284,120,60,20,1,0.0004688749999999,0.002682,0.0,0.0008507955743743,0.003751,0.002723,0.0,0.0007502,0.0010007499987509,0.0036,0.003196,0.000404,0.0018,0.001396,1,0,0,0,2,3,0,1,7,0,0,0.5,85.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.33333333333331,68.66666666666667,0,6,3,566,206,benign,benign_05,0
