fwd_seg_size_avg,pkt_len_std,pkt_len_max,fwd_pkt_len_std,subflow_fwd_byts,pkt_len_var,pkt_size_avg,totlen_fwd_pkts,pkt_len_mean,fwd_pkt_len_mean,capture_id,Label,Attack_Type
94.33333333333331,47.594999218586864,220,56.31360601330928,566,2265.283950617284,85.77777777777777,566,85.77777777777777,94.33333333333331,benign_01,0,benign
94.5,47.90834871442774,221,56.68553607402862,567,2295.20987654321,85.88888888888889,567,85.88888888888889,94.5,benign_01,0,benign
94.5,47.90834871442774,221,56.68553607402862,567,2295.20987654321,85.88888888888889,567,85.88888888888889,94.5,benign_01,0,benign
94.16666666666669,47.28166193732572,219,55.94168590793651,565,2235.555555555555,85.66666666666667,565,85.66666666666667,94.16666666666669,benign_01,0,benign
94.5,47.90834871442774,221,56.68553607402862,567,2295.20987654321,85.88888888888889,567,85.88888888888889,94.5,benign_01,0,benign
94.16666666666669,47.28166193732572,219,55.94168590793651,565,2235.555555555555,85.66666666666667,565,85.66666666666667,94.16666666666669,benign_01,0,benign
94.5,47.90834871442774,221,56.68553607402862,567,2295.20987654321,85.88888888888889,567,85.88888888888889,94.5,benign_01,0,benign
94.5,47.90834871442774,221,56.68553607402862,567,2295.20987654321,85.88888888888889,567,85.88888888888889,94.5,benign_01,0,benign
94.5,47.90834871442774,221,56.68553607402862,567,2295.20987654321,85.88888888888889,567,85.88888888888889,94.5,benign_01,0,benign
94.5,47.90834871442774,221,56.68553607402862,567,2295.20987654321,85.88888888888889,567,85.88888888888889,94.5,benign_01,0,benign
94.5,47.90834871442774,221,56.68553607402862,567,2295.20987654321,85.88888888888889,567,85.88888888888889,94.5,benign_01,0,benign
94.5,47.90834871442774,221,56.68553607402862,567,2295.20987654321,85.88888888888889,567,85.88888888888889,94.5,benign_01,0,benign
94.5,47.90834871442774,221,56.68553607402862,567,2295.20987654321,85.88888888888889,567,85.88888888888889,94.5,benign_02,0,benign
94.5,47.90834871442774,221,56.68553607402862,567,2295.20987654321,85.88888888888889,567,85.88888888888889,94.5,benign_02,0,benign
94.5,47.90834871442774,221,56.68553607402862,567,2295.20987654321,85.88888888888889,567,85.88888888888889,94.5,benign_02,0,benign
94.5,47.90834871442774,221,56.68553607402862,567,2295.20987654321,85.88888888888889,567,85.88888888888889,94.5,benign_02,0,benign
94.33333333333331,47.594999218586864,220,56.31360601330928,566,2265.283950617284,85.77777777777777,566,85.77777777777777,94.33333333333331,benign_02,0,benign
94.5,47.90834871442774,221,56.68553607402862,567,2295.20987654321,85.88888888888889,567,85.88888888888889,94.5,benign_02,0,benign
94.33333333333331,47.594999218586864,220,56.31360601330928,566,2265.283950617284,85.77777777777777,566,85.77777777777777,94.33333333333331,benign_02,0,benign
94.5,47.90834871442774,221,56.68553607402862,567,2295.20987654321,85.88888888888889,567,85.88888888888889,94.5,benign_02,0,benign
94.5,47.90834871442774,221,56.68553607402862,567,2295.20987654321,85.88888888888889,567,85.88888888888889,94.5,benign_02,0,benign
94.33333333333331,47.594999218586864,220,56.31360601330928,566,2265.283950617284,85.77777777777777,566,85.77777777777777,94.33333333333331,benign_02,0,benign
94.5,47.90834871442774,221,56.68553607402862,567,2295.20987654321,85.88888888888889,567,85.88888888888889,94.5,benign_02,0,benign
94.5,47.90834871442774,221,56.68553607402862,567,2295.20987654321,85.88888888888889,567,85.88888888888889,94.5,benign_02,0,benign
94.5,47.90834871442774,221,56.68553607402862,567,2295.20987654321,85.88888888888889,567,85.88888888888889,94.5,benign_02,0,benign
94.5,47.90834871442774,221,56.68553607402862,567,2295.20987654321,85.88888888888889,567,85.88888888888889,94.5,benign_02,0,benign
94.5,47.90834871442774,221,56.68553607402862,567,2295.20987654321,85.88888888888889,567,85.88888888888889,94.5,benign_02,0,benign
94.5,47.90834871442774,221,56.68553607402862,567,2295.20987654321,85.88888888888889,567,85.88888888888889,94.5,benign_02,0,benign
94.5,47.90834871442774,221,56.68553607402862,567,2295.20987654321,85.88888888888889,567,85.88888888888889,94.5,benign_02,0,benign
