hipotese_final,quantidade_fluxos,percentual
slow_dos,315,0.3595890410958904
benign,263,0.3002283105022831
mqtt_abuse,131,0.1495433789954338
c2_beacon,99,0.11301369863013698
dos_flood,66,0.07534246575342465
bruteforce,2,0.00228310502283105
