hipotese_ataque,familia,score_final,voto_modelo_focado,voto_modelo_detalhado,prob_media_modelo_detalhado,prob_media_macroclasse
slow_dos,availability_abuse,0.8398,0.8412,0.7854,0.8125,0.9633
dos_flood,availability_abuse,0.2444,0.0858,0.1845,0.097,0.9633
mqtt_abuse,availability_abuse,0.1947,0.0687,0.03,0.0759,0.9633
scan,recon_scan,0.0054,0.0,0.0,0.0085,0.0244
bruteforce,auth_control_repetition,0.0035,0.0043,0.0,0.0015,0.01
c2_beacon,auth_control_repetition,0.0021,0.0,0.0,0.0031,0.01
