classe_detalhada,quantidade_fluxos,percentual
slow_dos,199,0.24477244772447723
scan,150,0.18450184501845018
bruteforce,113,0.13899138991389914
c2_beacon,106,0.13038130381303814
dos_flood,105,0.12915129151291513
mqtt_abuse,84,0.1033210332103321
benign,56,0.06888068880688807
