hipotese_ataque,familia,score_final,voto_modelo_focado,voto_modelo_detalhado,prob_media_modelo_detalhado,prob_media_macroclasse
slow_dos,availability_abuse,0.3198,0.3038,0.2629,0.2881,0.4994
scan,recon_scan,0.2017,0.1982,0.1982,0.2037,0.2146
mqtt_abuse,availability_abuse,0.1877,0.1387,0.111,0.1479,0.4994
c2_beacon,auth_control_repetition,0.1694,0.1413,0.14,0.1755,0.2849
bruteforce,auth_control_repetition,0.1613,0.1493,0.1493,0.1079,0.2849
dos_flood,availability_abuse,0.1523,0.0687,0.1387,0.0761,0.4994
