hipotese_final,quantidade_fluxos,percentual
slow_dos,230,0.2829028290282903
scan,150,0.18450184501845018
bruteforce,113,0.13899138991389914
c2_beacon,107,0.13161131611316113
mqtt_abuse,105,0.12915129151291513
benign,56,0.06888068880688807
dos_flood,52,0.06396063960639606
