experimento,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro
RF multiclasse blind05 sem retreino,0.5729984301412873,0.6609646812307767,0.5729984301412873,0.5717344342210154,0.4463600100551424,0.45763522072707286,0.3961205086575932
RF binario blind05 sem retreino,0.576138147566719,0.9293563579277865,0.576138147566719,0.6636542666517157,0.5833333333333334,0.7684391080617496,0.4921875
