feature,importance
fwd_seg_size_avg,0.05604371685041939
pkt_len_std,0.05425635471815703
pkt_len_max,0.05383177282124478
fwd_pkt_len_std,0.05284012783532772
subflow_fwd_byts,0.05175180524598553
pkt_len_var,0.04827074380161505
pkt_size_avg,0.04672182887303652
totlen_fwd_pkts,0.04539299571091933
pkt_len_mean,0.04503851877963215
fwd_pkt_len_mean,0.04391895139454814
fwd_pkt_len_max,0.04382788383300153
psh_flag_cnt,0.021103654351239138
fwd_act_data_pkts,0.02042613175655662
ack_flag_cnt,0.020401844787531768
fwd_psh_flags,0.020269560434244733
flow_pkts_s,0.018124478056226634
bwd_iat_std,0.01721750239420183
flow_byts_s,0.017163996615003584
fwd_iat_max,0.016847798207029484
bwd_pkts_s,0.016562042602224814
flow_iat_max,0.01610875658230612
bwd_iat_mean,0.015293379373497364
flow_duration,0.015212637845764671
bwd_iat_tot,0.014794798475943862
subflow_fwd_pkts,0.014468647503569148
fwd_pkts_s,0.014426142090743482
flow_iat_mean,0.013589769092958075
fwd_blk_rate_avg,0.012388844246948099
fwd_iat_std,0.01139396750435306
fwd_iat_mean,0.011358586559701019
bwd_seg_size_avg,0.010837458751634266
bwd_iat_max,0.010834966812961703
fwd_iat_tot,0.0108003514915768
subflow_bwd_byts,0.010717685641868232
tot_bwd_pkts,0.01064296219670958
tot_fwd_pkts,0.01058408104818744
flow_iat_std,0.010124410299132506
totlen_bwd_pkts,0.009999491542719289
subflow_bwd_pkts,0.009612641396808303
fwd_header_len,0.00954067899163874
bwd_header_len,0.009106601873651532
fwd_byts_b_avg,0.008681901128379133
fwd_pkts_b_avg,0.007772591430526183
bwd_pkt_len_std,0.007533366820560567
bwd_pkt_len_mean,0.00715029832342042
down_up_ratio,0.003155695673067923
bwd_psh_flags,0.0021591359878380565
bwd_iat_min,0.0013287217113796235
pkt_len_min,0.0002996152750469642
fin_flag_cnt,7.010525896202345e-05
syn_flag_cnt,1.2495208661602464e-18
rst_flag_cnt,6.634772387181096e-19
init_bwd_win_byts,2.4504646290718436e-19
bwd_pkt_len_max,0.0
bwd_pkt_len_min,0.0
fwd_pkt_len_min,0.0
