experimento,features,accuracy_train,accuracy_test,f1_weighted,f1_macro,gap_train_test
todos_atributos_seguros,77,1.0,1.0,1.0,1.0,0.0
top_10_atributos,10,1.0,1.0,1.0,1.0,0.0
