model,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,min_recall,bruteforce_precision,dos_flood_recall,c2_beacon_recall,mqtt_abuse_recall,slow_dos_recall,selection_score,recall_benign,precision_benign,recall_bruteforce,precision_bruteforce,recall_c2_beacon,precision_c2_beacon,recall_dos_flood,precision_dos_flood,recall_mqtt_abuse,precision_mqtt_abuse,recall_scan,precision_scan,recall_slow_dos,precision_slow_dos
extratrees_depth10_leaf3_balanced,0.8236310243565382,0.8408580323635453,0.8727430746016737,0.8494630446709631,0.8282867532420957,0.7311046511627907,0.7106299212598425,0.7360114777618364,0.8742058449809402,0.767879548306148,0.7311046511627907,0.7635409597298001,1.0,1.0,1.0,0.7106299212598425,0.8742058449809402,1.0,0.7360114777618364,0.8784246575342466,0.767879548306148,0.5594149908592322,1.0,1.0,0.7311046511627907,0.7375366568914956
extratrees_depth12_leaf3_balanced,0.8227673173259631,0.8384134045951965,0.8721727947192807,0.8475850401086644,0.8278412143047859,0.7311046511627907,0.7106299212598425,0.7345767575322812,0.8703939008894537,0.7691342534504392,0.7311046511627907,0.7629775583611105,1.0,0.989247311827957,1.0,0.7106299212598425,0.8703939008894537,1.0,0.7345767575322812,0.8888888888888888,0.7691342534504392,0.5532490974729242,1.0,1.0,0.7311046511627907,0.726878612716763
extratrees_depth10_leaf5_none,0.7828640525133874,0.822784127038987,0.8554335750372457,0.8289664091936333,0.7876659877519754,0.6260162601626016,0.7123015873015873,0.6260162601626016,0.8729351969504447,0.767879548306148,0.7267441860465116,0.699844103942759,1.0,1.0,0.9944598337950139,0.7123015873015873,0.8729351969504447,0.9970972423802612,0.6260162601626016,0.8135487880671224,0.767879548306148,0.4880382775119617,1.0,1.0,0.7267441860465116,0.7485029940119761
randomforest_depth12_leaf3_balanced,0.7686992572119538,0.8069720812834514,0.8367538930619727,0.8112618139414686,0.7749641031643907,0.6154949784791965,0.6985138004246284,0.6154949784791965,0.818297331639136,0.7766624843161857,0.7354651162790697,0.6866778524096929,1.0,1.0,0.9113573407202216,0.6985138004246284,0.818297331639136,0.9470588235294117,0.6154949784791965,0.8422774869109948,0.7766624843161857,0.4725190839694656,1.0,1.0,0.7354651162790697,0.6884353741496598
randomforest_depth10_leaf5_none,0.6892382103990327,0.770977078736002,0.7903074656501443,0.763007546676478,0.693869584380364,0.42802486848397897,0.6876456876456877,0.42802486848397897,0.7852604828462516,0.7691342534504392,0.7325581395348837,0.5674627948159849,1.0,1.0,0.817174515235457,0.6876456876456877,0.7852604828462516,0.8982558139534884,0.42802486848397897,0.7390586292320397,0.7691342534504392,0.3640142517814727,1.0,1.0,0.7325581395348837,0.7078651685393258
