classe_detalhada,quantidade_fluxos,percentual
slow_dos,287,0.3276255707762557
benign,263,0.3002283105022831
dos_flood,126,0.14383561643835616
c2_beacon,101,0.11529680365296803
mqtt_abuse,99,0.11301369863013698
