classe,recall
benign,0.5473684210526316
bruteforce,0.5507246376811594
c2_beacon,0.6711409395973155
dos_flood,0.017857142857142856
mqtt_abuse,0.5945945945945946
scan,0.8653846153846154
slow_dos,0.9342105263157895
