classe,recall,precision
benign,0.9184060721062619,0.8134453781512605
bruteforce,0.8786549707602339,0.6028084252758275
c2_beacon,0.821673525377229,0.944794952681388
dos_flood,0.7430750702529105,0.8669789227166277
mqtt_abuse,0.630648330058939,0.6400797607178464
scan,0.9012244897959184,0.9928057553956835
slow_dos,0.6925779534475187,0.6100580270793037
